"","country_name","year","elec_access","agri_forest_fish","agri_land","arable_land","armed_forces_perc","armed_forces_total","birth_rate","educ_expend","tourism","mortality","pop","health_expend","gdp_usd","income","gdp_perc"
"117","Kenya",2022,76,21.1657169102521,48.7014897655709,10.1982767213705,0.055306974765391,14000,27.54,4.51101779937744,NA,30.5,54027487,4.49157359660543,113419826113.903,100539552355.985,2.86357121077884
"118","Japan",2010,100,1.10828108130349,13.5884773662551,11.7475994513032,0.393138242759536,260382,8.5,3.59951996803284,3.9306e+10,2.3,128070000,9.06,5759071769013.11,4476727345129.27,4.07922304843274
"119","Japan",2011,100,1.08027176258707,13.4951989026063,11.6707818930041,0.395188949916107,260086,8.3,3.60527992248535,3.976e+10,2.3,127833000,10.49,6233147172341.35,4864600726827.73,0.209251802819637
"120","Japan",2012,100,1.12285396244805,13.4567901234568,11.6488340192044,0.396526749247305,259800,8.2,3.41945004463196,4.0967e+10,2.2,127629000,10.67,6272362996105.03,4913791059017.2,1.53678665884595
"121","Japan",2013,100,1.06671782970179,13.4211248285322,11.6268861454047,0.395021482524139,259800,8.2,3.40875005722046,3.2244e+10,2.1,127445000,10.67,5212328181166.18,4127895991388.44,2.15237106564643
"122","Japan",2014,100,0.996605700341743,13.360768175583,11.5829903978052,0.393792227793434,259800,8,3.41529989242554,2.8609e+10,2.1,127276000,10.73,4896994405353.29,3887388028965.93,0.429381122520397
"123","Japan",2015,100,1.03412007048647,13.2949245541838,11.5363511659808,0.393269633744266,259800,8,3.31221008300781,2.3252e+10,2,127141000,10.75,4444930651964.18,3560749861428.92,1.66846511711745
"124","Japan",2016,100,1.12498130848332,13.2043895747599,11.4787379972565,0.391318891357837,260890,7.8,3.14643001556396,2.5968e+10,2,127076000,10.66,5003677627544.24,3999113859748.18,0.805362824616168
"125","Japan",2017,100,1.12844054943922,13.1083676268861,11.4156378600823,0.38824793435736,261000,7.6,3.13057994842529,2.5774e+10,1.9,126972000,10.66,4930837369151.42,3953215059603.92,1.75861180161441
"126","Japan",2018,100,1.044248235947,13.0205761316872,11.363511659808,0.381871834103002,261150,7.4,3.07782006263733,2.8097e+10,1.9,126811000,10.74,5040880939324.86,4031133513908.75,0.771168471432347
"127","Japan",2019,100,1.03894744464527,12.9355281207133,11.3141289437586,0.378011431326381,261000,7,3.15533995628357,2.9146e+10,1.8,126633000,10.97,5117993853016.51,4088190737217.58,-0.262170828589063
"128","Japan",2020,100,1.06632318664296,12.8449931412894,11.2592592592593,0.378818776290531,261000,6.8,3.30628991127014,6.741e+09,1.8,126261000,11,5055587093501.59,3951137997473.32,-3.86470966963243
"129","Japan",2021,100,1.01328081764637,12.7818930041152,11.2098765432099,0.379626121254681,261044.142728973,6.6,3.33563995361328,4240005268.6632,1.8,125681593,10.82,5034620784584.98,3835811076721.88,3.0321308280439
